Country,Shipping Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Price,Mode,Time
Dominica,"[{""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Dominican Republic,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 1,511.15"", ""Delivery Time"": ""30-50 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""63-63 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""35-37 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""11-25 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,11-25 days
Ecuador,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 768.10"", ""Delivery Time"": ""62-62 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 1,665.61"", ""Delivery Time"": ""30-50 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,483.80"", ""Delivery Time"": ""62-62 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""13-28 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,13-28 days
Egypt,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 54.27"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 196.20"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 14,982.10"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""20-40 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 33,675.28"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 33,900.70"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 39,511.16"", ""Delivery Time"": ""10-23 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 39,511.16",DHL,10-23 days
El Salvador,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""62-62 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""62-62 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,483.80"", ""Delivery Time"": ""56-56 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""55-55 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""23-40 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,23-40 days
Equatorial Guinea,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 1,077.01"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 1,077.01"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 1,385.92"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Eritrea,"[{""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,483.80"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Estonia,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 25""}, {""Courier Name"": ""Cainiao Super Economy"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 25""}, {""Courier Name"": ""AliExpress Saver Shipping"", ""Shipping Cost"": ""NGN 588.60"", ""Delivery Time"": ""Sep 13""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 822.37"", ""Delivery Time"": ""Oct 23""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 1,135.45"", ""Delivery Time"": ""Oct 08""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,289.90"", ""Delivery Time"": ""Aug 26""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,612.00"", ""Delivery Time"": ""Aug 24""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 37,085.80"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 37,307.05"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 37,307.05"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 43,259.81"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 69,158.10"", ""Delivery Time"": ""Aug 12""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 69,608.94"", ""Delivery Time"": ""Aug 12""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 69,608.94",UPS Expedited,Estimated delivery on Aug 12
Ethiopia,"[{""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""37-37 days""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 196.20"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,824.23"", ""Delivery Time"": ""51-51 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 14,982.10"", ""Delivery Time"": ""53-53 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""20-40 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 33,675.28"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 33,900.70"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Faroe Islands,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 1,602.99"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 1,602.99"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 1,602.99"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 1,824.23"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 13,228.83"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 28,235.97"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 31,304.19"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 33,675.28"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Fiji,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 18,396.80"", ""Delivery Time"": ""30-46 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 21,402.40"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 26,628.81"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""11-22 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,11-22 days
Finland,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""Cainiao Super Economy"", ""Shipping Cost"": ""NGN 609.47"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""AliExpress Saver Shipping"", ""Shipping Cost"": ""NGN 847.41"", ""Delivery Time"": ""Sep 04""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 951.77"", ""Delivery Time"": ""Oct 22""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 1,173.02"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,719.87"", ""Delivery Time"": ""Aug 25""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 1,719.87"", ""Delivery Time"": ""Oct 07""}, {""Courier Name"": ""Cainiao Heavy Parcel Line"", ""Shipping Cost"": ""NGN 10,786.78"", ""Delivery Time"": ""Sep 19""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 11,162.48"", ""Delivery Time"": ""Aug 23""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 24,257.72"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 29,020.77"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,011.10"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 38,321.44"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 38,818.20"", ""Delivery Time"": ""Aug 12""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 41,757.01"", ""Delivery Time"": ""Aug 12""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 41,757.01",UPS Expedited,Estimated delivery on Aug 12
France,"[{""Courier Name"": ""Seller's Shipping Method"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 30""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 20""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 26""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 922.55"", ""Delivery Time"": ""Aug 13""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 922.55"", ""Delivery Time"": ""Oct 08""}, {""Courier Name"": ""Cainiao Standard - SG Air"", ""Shipping Cost"": ""NGN 1,924.42"", ""Delivery Time"": ""Aug 30""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 8,636.93"", ""Delivery Time"": ""Aug 15""}, {""Courier Name"": ""Cainiao Heavy Parcel Line"", ""Shipping Cost"": ""NGN 8,862.36"", ""Delivery Time"": ""Sep 26""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 23,472.93"", ""Delivery Time"": ""11-23 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 23,472.93"", ""Delivery Time"": ""12-25 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 33,884.00"", ""Delivery Time"": ""7-13 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 37,085.80"", ""Delivery Time"": ""7-14 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 37,565.87"", ""Delivery Time"": ""13-21 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 40,412.84"", ""Delivery Time"": ""Aug 19""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 40,412.84",UPS Expedited,Estimated delivery on Aug 19
French Guiana,"[{""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""25-48 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
French Polynesia,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 1,077.01"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 1,352.52"", ""Delivery Time"": ""30-50 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 18,396.80"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 21,402.40"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 26,628.81"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Gabon,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 1,077.01"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 1,077.01"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 1,385.92"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""37-39 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""20-40 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
