,borough,location_i,objectid,shape_area,shape_length,zone,arcs,type_x,type_y,transform_scale,transform_translate,object_type
33,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,16.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
34,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,17.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
35,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,17.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
36,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,18.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
37,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,18.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
38,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,19.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
39,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,19.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
40,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,20.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
41,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,20.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
42,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,21.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
43,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,21.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
44,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,22.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
45,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,22.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
46,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,23.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
47,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,23.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
48,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,24.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
49,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,24.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
50,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,25.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
51,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,25.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
52,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,26.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
53,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,26.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
54,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,27.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
55,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,27.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
